"title","band_name","album_name"
"Hookernew","Stu Stone","Stu Stone Music Cues Vol 2"
"Bounce With Me","Stu Stone","Stu Stone Music Cues Vol 1"
"9_versionb","Serval Attack","Quirky 2"
"9miles","Serval Attack","Hip Hop 2"
"9milesfaster","Serval Attack","Hip Hop 2"
"A9rough","Serval Attack","Hip Hop 2"
"Aliens","Serval Attack","Hip Hop 2"
"auricle_punk_1","Serval Attack","Punk U"
"auricle_punk_10","Serval Attack","Punk U"
"auricle_punk_2","Serval Attack","Punk U"
"auricle_punk_3","Serval Attack","Punk U"
"auricle_punk_4","Serval Attack","Punk U"
"auricle_punk_5","Serval Attack","Punk U"
"auricle_punk_6","Serval Attack","Punk U"
"auricle_punk_7","Serval Attack","Punk U"
"auricle_punk_8","Serval Attack","Punk U"
"auricle_punk_9","Serval Attack","Punk U"
"Austinjared","Serval Attack","Be Cool"
"basspunk","Serval Attack","Punk"
"basspunk2","Serval Attack","Punk"
"beat_1","Serval Attack","Bring Da Funk"
"beat_2","Serval Attack","Bring Da Funk"
"beat_3","Serval Attack","Bring Da Funk"
"beat_4","Serval Attack","Bring Da Funk"
"beat_5","Serval Attack","Bring Da Funk"
"beat_5_justdrums","Serval Attack","Bring Da Funk"
"Beertime","Serval Attack","Punk"
"bet1","Serval Attack","Hip Hop 2"
"bet10","Serval Attack","Hip Hop 2"
"bet11","Serval Attack","Hip Hop 2"
"bet12","Serval Attack","Hip Hop 2"
"bet13","Serval Attack","Hip Hop 2"
"bet14","Serval Attack","Hip Hop 2"
"bet15","Serval Attack","Hip Hop 2"
"bet16","Serval Attack","Hip Hop 2"
"bet17","Serval Attack","Hip Hop 2"
"bet18","Serval Attack","Hip Hop 2"
"bet19","Serval Attack","Hip Hop 2"
"bet2","Serval Attack","Hip Hop 2"
"bet20","Serval Attack","Hip Hop 2"
"bet21","Serval Attack","Hip Hop 2"
"bet22","Serval Attack","Hip Hop 2"
"bet23","Serval Attack","Hip Hop 2"
"bet24","Serval Attack","Hip Hop 2"
"bet25","Serval Attack","Hip Hop 2"
"bet26","Serval Attack","Hip Hop 2"
"bet27","Serval Attack","Hip Hop 2"
"bet28","Serval Attack","Hip Hop 2"
"bet29","Serval Attack","Hip Hop 2"
"bet3","Serval Attack","Hip Hop 2"
"bet30","Serval Attack","Hip Hop 2"
"bet31","Serval Attack","Hip Hop 2"
"bet32","Serval Attack","Hip Hop 2"
"bet33","Serval Attack","Hip Hop 2"
"bet34","Serval Attack","Hip Hop 2"
"bet35","Serval Attack","Hip Hop 2"
"bet4","Serval Attack","Hip Hop 2"
"bet5","Serval Attack","Hip Hop 2"
"bet6","Serval Attack","Hip Hop 2"
"bet7","Serval Attack","Hip Hop 2"
"bet8","Serval Attack","Hip Hop 2"
"bet9","Serval Attack","Hip Hop 2"
"bluesnjazz_1","Serval Attack","Blues n Jazz"
"bluesnjazz_2","Serval Attack","Blues n Jazz"
"bluesnjazz_3","Serval Attack","Blues n Jazz"
"bluesnjazz_4","Serval Attack","Blues n Jazz"
"bluesnjazz_5","Serval Attack","Blues n Jazz"
"bluesnjazz_6","Serval Attack","Blues n Jazz"
"buck 2","Serval Attack","Mellow Quirky"
"buck 3","Serval Attack","Mellow Quirky"
"buck_gfxmusic1","Serval Attack","Meat Your Metal"
"buck_gfxmusic2","Serval Attack","Meat Your Metal"
"carmetalbounce","Serval Attack","Hip Hop 2"
"casey_c","Serval Attack","Happy Tracks"
"casey_pitch","Serval Attack","Happy Tracks"
"casey_pitchb","Serval Attack","Happy Tracks"
"Classical_3","Serval Attack","Film Scores"
"Classical_4","Serval Attack","Film Scores"
"Cost","Serval Attack","Punk"
"dafunk","Serval Attack","Hip Hop 2"
"Dafunk2","Serval Attack","Hip Hop 2"
"Dafunk3","Serval Attack","Hip Hop 2"
"Dafunk4","Serval Attack","Hip Hop 2"
"dale_pitch","Serval Attack","Happy Tracks"
"dale_pitchb","Serval Attack","Happy Tracks"
"dale_pitchc","Serval Attack","Happy Tracks"
"dinner_pitch","Serval Attack","Happy Tracks"
"dinner_pitchb","Serval Attack","Happy Tracks"
"dinner_pitchc","Serval Attack","Happy Tracks"
"Drama_1","Serval Attack","Reality"
"Drama_2","Serval Attack","Reality"
"Drama_3","Serval Attack","Reality"
"Drama_4","Serval Attack","Reality"
"Drama_5","Serval Attack","Reality Cues"
"Drink From My Cup_NOVOX","Serval Attack","Rock"
"dubbylime","Serval Attack","Punk"
"endofapunk","Serval Attack","Punk"
"Extinguisher","Serval Attack","Hip Hop 2"
"funkpunk","Serval Attack","Punk"
"fuseVJ","Serval Attack","Hip Hop 2"
"fuseVJ2","Serval Attack","Hip Hop 2"
"geico_1_mix","Serval Attack","Quirky 2"
"geico_4","Serval Attack","Quirky 2"
"geico_5","Serval Attack","Quirky 2"
"geico_templove","Serval Attack","Quirky 2"
"geicomix_2","Serval Attack","Quirky 2"
"geicomix_3","Serval Attack","Quirky 2"
"ghettojared","Serval Attack","Hip Hop 2"
"gingerbreadhip","Serval Attack","Hip Hop 2"
"have a green day","Serval Attack","Punk"
"hiphop60","Serval Attack","Hip Hop 2"
"ice_brooding","Serval Attack","Meat Your Metal"
"ice_demo3","Serval Attack","Meat Your Metal"
"ice_funk","Serval Attack","Meat Your Metal"
"ice_garden","Serval Attack","Meat Your Metal"
"ice_pitc4","Serval Attack","Meat Your Metal"
"ice_pitc4_noleaD","Serval Attack","Meat Your Metal"
"ice_pitch1","Serval Attack","Meat Your Metal"
"ice_pitch2","Serval Attack","Meat Your Metal"
"ice_pitch2_nolead","Serval Attack","Meat Your Metal"
"ice_pitch7","Serval Attack","Meat Your Metal"
"ice_pitch8","Serval Attack","Meat Your Metal"
"icedemo3_versionb","Serval Attack","Meat Your Metal"
"industrial_boner","Serval Attack","Meat Your Metal"
"industrial_boner_drumnbass","Serval Attack","Meat Your Metal"
"industrial_boner_remix","Serval Attack","Meat Your Metal"
"itsover_orchestra","Serval Attack","Film Scores"
"it was u","Serval Attack","Hip Hop 2"
"jazz_1","Serval Attack","Blues n Jazz"
"jazz_2","Serval Attack","Blues n Jazz"
"jimmy_pitch","Serval Attack","Happy Tracks"
"jimmy_pitchb","Serval Attack","Happy Tracks"
"jimmy_pitchc","Serval Attack","Happy Tracks"
"6DEGREES","Serval Attack","Be Cool"
"6DEGREES 1 ","Serval Attack","Be Cool"
"6DEGREES 2","Serval Attack","Be Cool"
"6DEGREES 3","Serval Attack","Be Cool"
"accoustic_lipton","Serval Attack","Quirky "
"accousticlime","Serval Attack","Be Cool"
"afterbreakfinal","Serval Attack","Be Cool"
"afterbreakfinal 2","Serval Attack","Be Cool"
"auriclehiphop","Serval Attack","Hip Hop"
"auriclehiphop2","Serval Attack","Hip Hop"
"auriclehiphop3","Serval Attack","Hip Hop"
"auriclehiphop4","Serval Attack","Hip Hop"
"auriclehiphop5","Serval Attack","Hip Hop"
"buffalo_1","Serval Attack","Working Class"
"buffalo_2","Serval Attack","Working Class"
"buffalo_3","Serval Attack","Working Class"
"buffalo_4","Serval Attack","Working Class"
"buffalo_6","Serval Attack","Working Class"
"buffalo_7","Serval Attack","Working Class"
"buffalo_8","Serval Attack","Working Class"
"Bumps_1","Serval Attack","Bumps"
"Bumps_10","Serval Attack","Bumps"
"Bumps_11","Serval Attack","Bumps"
"Bumps_12","Serval Attack","Bumps"
"Bumps_2","Serval Attack","Bumps"
"Bumps_3","Serval Attack","Bumps"
"Bumps_4","Serval Attack","Bumps"
"Bumps_5","Serval Attack","Bumps"
"Bumps_6","Serval Attack","Bumps"
"Bumps_7","Serval Attack","Bumps"
"Bumps_8","Serval Attack","Bumps"
"Bumps_9","Serval Attack","Bumps"
"clapyourhands_sayno","Serval Attack","Working Class"
"countryJam","Serval Attack","Working Class"
"drama_indahouse","Serval Attack","Working Class"
"drama_shorty","Serval Attack","Working Class"
"fame","Serval Attack","Working Class"
"funky accoustic","Serval Attack","Working Class"
"funky_lime","Serval Attack","Working Class"
"goingmyway","Serval Attack","Working Class"
"guero","Serval Attack","Working Class"
"harleygirl","Serval Attack","Working Class"
"harmonica_sting","Serval Attack","Working Class"
"hot_shot","Serval Attack","Working Class"
"INDIEROCK_1","Serval Attack","Indierock"
"INDIEROCK_10","Serval Attack","Indierock"
"INDIEROCK_11","Serval Attack","Indierock"
"INDIEROCK_12","Serval Attack","Indierock"
"INDIEROCK_13","Serval Attack","Indierock"
"INDIEROCK_14","Serval Attack","Indierock"
"INDIEROCK_15","Serval Attack","Indierock"
"INDIEROCK_2","Serval Attack","Indierock"
"INDIEROCK_3","Serval Attack","Indierock"
"INDIEROCK_4","Serval Attack","Indierock"
"INDIEROCK_5","Serval Attack","Indierock"
"INDIEROCK_5 1","Serval Attack","Indierock"
"INDIEROCK_6","Serval Attack","Indierock"
"INDIEROCK_7","Serval Attack","Indierock"
"INDIEROCK_8","Serval Attack","Indierock"
"INDIEROCK_9","Serval Attack","Indierock"
"intro_titans","Serval Attack","Quirky & Accoustic"
"juke_titans","Serval Attack","Quirky & Accoustic"
"kandj2","Serval Attack","Working Class"
"ladynovox","Serval Attack","Bumps"
"lime_1","Serval Attack","Working Class"
"lime_2","Serval Attack","Working Class"
"lime_3","Serval Attack","Working Class"
"lipton_easy","Serval Attack","Quirky & Accoustic"
"lipton_psychadelic","Serval Attack","Quirky & Accoustic"
"mandate","Serval Attack","Working Class"
"metal_01","Serval Attack","Metal"
"metal_02","Serval Attack","Metal"
"metal_04","Serval Attack","Metal"
"metal_05","Serval Attack","Metal"
"metal_06","Serval Attack","Metal"
"metal_07","Serval Attack","Metal"
"metal_08","Serval Attack","Metal"
"metal_09","Serval Attack","Metal"
"metal_10","Serval Attack","Metal"
"metal_11","Serval Attack","Metal"
"metal_12","Serval Attack","Metal"
"money_1","Serval Attack","Working Class"
"money_2","Serval Attack","Working Class"
"noun_titans","Serval Attack","Quirky & Accoustic"
"nybaby_titans","Serval Attack","Quirky & Accoustic"
"OZZY","Serval Attack","Working Class"
"pitchslow","Serval Attack","Working Class"
"pop_1","Serval Attack","Pop"
"pop_2","Serval Attack","Pop"
"pop_3","Serval Attack","Pop"
"pop_4","Serval Attack","Pop"
"pop_5","Serval Attack","Pop"
"pop_6","Serval Attack","Pop"
"rock1","Serval Attack","Rock"
"rock10","Serval Attack","Rock"
"rock11","Serval Attack","Rock"
"rock2","Serval Attack","Rock"
"rock3","Serval Attack","Rock"
"rock4","Serval Attack","Rock"
"rock5","Serval Attack","Rock"
"rock6","Serval Attack","Rock"
"rock7","Serval Attack","Rock"
"rock8","Serval Attack","Rock"
"rock9","Serval Attack","Rock"
"rockininlofilime","Serval Attack","Rock"
"short1","Serval Attack","Working Class"
"short2","Serval Attack","Working Class"
"short3","Serval Attack","Working Class"
"short4","Serval Attack","Working Class"
"short5","Serval Attack","Working Class"
"some_bluegrass","Serval Attack","Working Class"
"somethingcheesey","Serval Attack","Quirky & Accoustic"
"Somethingfrench","Serval Attack","Quirky & Accoustic"
"taooinstrdemo","Serval Attack","Rock"
"thegraduate","Serval Attack","Working Class"
"Titans_Furious","Serval Attack","Quirky & Accoustic"
"walkingonlime","Serval Attack","Bumps"
"waters_intro","Serval Attack","Be Cool"
"waters2","Serval Attack","Be Cool"
"watersjunk2","Serval Attack","Be Cool"
"waterspitch3","Serval Attack","Be Cool"
"waterwaits","Serval Attack","Be Cool"
"womannocvox 1","Serval Attack","Bumps"
"workingclass_sting","Serval Attack","Working Class"
"jukeboxhop","Serval Attack","Hip Hop 2"
"kenmore 1","Serval Attack","Mellow Quirky"
"kenmore 2","Serval Attack","Mellow Quirky"
"lilchapelle","Serval Attack","Hip Hop 2"
"liljingle","Serval Attack","Hip Hop 2"
"liljon2","Serval Attack","Hip Hop 2"
"meat_your_metal","Serval Attack","Meat Your Metal"
"meat_your_metal_redux","Serval Attack","Meat Your Metal"
